"id","name","short_desc","long_desc","composition","department_id","style_id","code","primary_picture","price","old_price","discount","visible","available","best_seller","page_hits"
"84","Apricot waterlily print silk  devore shrug(limited stock,all sizes 20th April)","Apricot waterlily print silk  devore shrug","Romantic waterlilies float over this peachy silk devore waterfall cover-up.  Don't just wear this with its matching dress, but try it with an ivory jersey and pants for a perfect holiday.","60% silk 40% viscose","7","0","600614","chesc_178.jpg","95","0","0","1","1","0","3597"
"23","Black Jacquard Jacket","Black Jacquard Jacket","Tailoring takes a feminine twist with buttons and bows. Our flattering bow neckline jacket looks chic for day and night in this oh-so-stunning black jacquard with chenille. The LBJ is your key piece this season","Shell 100% Polyester. Lining 100% Polyester","1","11","190151",,"195","0","0","1","1","0","1176"
"86","Black/White spot frill trim mesh blouse","Black/White spot frill trim mesh blouse","Crisp monochrome make this frilled spotty  mesh blouse the perfect item for any wardrobe, Modesty camisole included (available with cami ONLY ON WEB)
","100% Polyamide","6","12","600502","chesc_203.jpg","70","0","0","1","1","0","1325"
"87","Black eyelet trim trouser","Black eyelet trim trouser","Sleek tailored trousers, with eyelet trimmed waistband.  A perfect fit. 81cms. Inside length. Please advise,  info@chesca1424.co.uk if a shorter length is required","57% triacetate 43% cupro","2","10","200200","chesc_221.jpg","125","0","0","1","1","0","889"
"88","Vanilla/Black printed silk shrug","Vanilla/Black printed silk shrug","Tiny black beads edge this print silk georgette shrug.  Cover our elegant  ruched silk blouse or wear over a  black jersey , for a timeless but elegant outfit.","100% silk","6","10","600615","chesc_221.jpg","85","0","0","1","1","0","1160"
"89","Vanilla/Black printed  silk cami","Vanilla/Black printed silk georgette cami","Delighful silk print  is ruched to make a graceful silhouette. Soft ruching at shoulder  and assymetrical detail ensure that you can wear this for the most elegant evening.","100% silk Lining: 100% Acetate","6","10","600613","chesc_246.jpg","95","0","0","1","1","0","869"
"140","Test Prod","Test Prod","Some test product","TBC","0","0","1000","valleon.JPG","1","0","0","1","0","0","7"
"92","Lavender lattice trim tshirt","Lavender lattice trim tshirt","Trellis design lifts this delightful jersey into a top which can be worn for day and evening.  Perhaps under our mauve pleated silk jacket, or as phoographed with our very special ribbed cardigan","95% viscose 5% elastane Trim: 100% Silk","5","11","500504","chesc_274.jpg","40","40","0","1","1","0","555"
"93","Vanilla silk blouse, contrast black silk","Vanilla silk blouse, contrast black silk","Peached heavy silk blouse in clotted cream is evocative of a bygone era, trimmed with black embroidery and black piping. With black trousers or skirt, your outfit is perfect for any occasion.","100% silk","6","10","600506","chesc_304.jpg","70","100","0","1","1","0","1774"
"94","Mocha diamante/ pearl trim jumper","Mocha diamante/ pearl trim jumper","A diamante and pearl collar frames this luxurious mocha viscose knit. Dine out in style in a knit that you will treasure.","70% viscose 30% polyamide","4","10","400501","chesc_312.jpg","50","85","0","1","1","0","764"
"95","Ivory bow trim cardigan ","Ivory bow trim cardigan ","Zip up in style in this flattering cardigan, with bows trimming the neckline. Wear with monotone silk, or to match the ivory spots on our silver grey silk skirt. ","63% viscose 37% polyamide","4","11","400502","chesc_328.jpg","90","0","0","1","1","0","702"
"96","Ivory black floral print silk skirt","Ivory black floral print silk skirt","This beautiful floral skirt will turn heads, worn with black or ivory.  Or look out for our matching silk jacket-smart enough for the Palace!","100% silk Lining: 100% Acetate","3","10","300313","chesc_328.jpg","119","0","0","1","1","0","1177"
"97","Champagne panelled skirt","Champagne panelled skirt","Champagne twill skirt is fully lined for style and sophistication. Diagonal panelling  provides a flattering silhouette, which will team with ivory or black for any occasion."," 100% Polyester","3","12","300309","chesc_381.jpg","110","0","0","1","1","0","1670"
"99","Champagne ribbed knit","Champagne ribbed knit","Our new signature waterfall cardigan will flatter EVERY size for EVERY occasion. Personally chosen by the fashion editor of\\'Woman & Home\\' , this taupe ribbed cardigan is great with matching skirt or trouser.Size 8 or size 26,this fits all the girls who work at chesca","100% viscose","4","0","400405","2245986b5c798ac5b6554b3c51b22ce4.jpg","85","0","0","1","1","0","1062"
"100","Fawn lace cardigan with brooch","Fawn lace cardigan with brooch","Stretch  lace cardigan , with an integral stripe is chevronned to flatter .  Designed to celebrate your curves, over any top in your wardrobe or with matching lace vest.  Faux pearl brooch to fasten flattering shawl collar.","100% polyamide","6","11","600626","chesc_385.jpg","60","0","0","0","0","0","1249"
"101","Fawn lace lined camisole","Fawn lace lined camisole","This indispensible lace vest is fully lined and finished with stretch silky binding.  Infinitely useful, packable for trips for business or holiday.
Don't forget there is a matching shawl collar \"cardi\" which will complete the outfit.","100% polyamide","5","11","600627","chesc_398.jpg","30","0","0","0","0","0","693"
"102","Hot pink lace/bead trim cardigan","Hot pink lace/bead trim cardigan","Feminine lace with tiny beads makes this summer's must have cardigan your choice for any occasion.  Pretty as a picure in pink, team with match lace trimmed knit to make the ultimate summer twinset-or investigate ivory version","65% viscose 35% polyamide","4","10","400410","chesc_410.jpg","50","70","0","1","0","0","1437"
"103","Hot pink lace/bead trim cami","Hot pink lace/bead trim cami","Feminine lace with tiny beads trim this sleek knit to go under any jacket or its matching cardigan. Pink or ivory, if you can\\'t choose, buy them both!","65% viscose 35% polyamide","4","11","400411","chesc_419.jpg","35","50","0","1","1","0","892"
"104","Pansy print silk skirt (MATCHING SHORTSLEEVE BLOUSE ONLY AVAILABLE BY PHONE)","Pansy print silk skirt","Exclusive silk print georgette skirt, designed to match every jersey in your wardrobe.  Pansies of all colours grow wild on  black background, pure romance! Matching short \\\"bow\\\" sleeve button through blouse not shown. Please phone for blouse","100% silk Linng: 100% Acetate","3","0","300312","chesc_412.jpg","135","0","0","1","0","0","1395"
"105","Lime short sleeve jersey ,macrame trim","Lime short sleeve jersey ,macrame trim","Luxury viscose jersey will fit and flatter, feminine macrame detail at neckline is perfect  under linen jackets or on its own","95% viscose 5% elastane ","5","11","500507","7e539f038685bd60ccf7bed62fd92463.jpg","40","40","0","1","1","0","561"
"106","Hot pink jersey with macrame trim","Hot pink jersey with macrame trim","Luxury viscose jersey will fit and flatter, feminine macrame detail at neckline is perfect  under linen jackets or on its own
PLEASE PHONE 0207 609 3434 IF YOU WOULD LIKE THIS IN BLACK. THE STYLE NO IS 500505 AND IS AVAILBLE FOR £40 FOR A LIMITED PERIOD","95% viscose 5% elastane ","5","11","500506","chesc_435.jpg","40","40","0","1","1","0","514"
"107","Ivory chiffon trim print shrug ","Ivory chiffon trim print shrug","Orchids flower in neutral tones on this waterfall silk rich jacket, embellished with cream georgette with beads and  handfinished embroidery. This jacket completes the outfit of the season,with its gorgeous cami and elegant skirt.","50% silk 50% viscose","6","9","600609","chesc_449.jpg","125","0","0","1","1","0","2533"
"108","Ivory mesh bead trim cami","Ivory mesh bead trim cami","Embellished with  with beads and  handfinished embroidery, this luxurious ivory vest ensures you will turn heads on any ocassion. Worn under our silk jacket, or with its beautiful silk devore shrug and skirt to make the most head turning outfit at your wedding.(AVAILABLE END FEB)","100% polyester Trim: 50% Silk 50% Viscose Lining: 100% Acetate","6","9","600610","chesc_456.jpg","75","0","0","1","1","0","1609"
"109","Ivory chiffon trim print skirt ","Ivory chiffon trim print skirt ","Orchids flower in neutral tones on this feminine skirt, embellished with cream georgette with beads and  handfinished embroidery 
","50% silk 50% viscose Trim: 100% Polyester Lining: 100% Acetate","3","9","300306","c758175f7436ae3a93ee11e9c37ead28.jpg","165","0","0","1","1","0","7331"
"110","Champagne pochette with beads","Champagne pochette with beads","Complete your outfit with Champagne pochette with beads","55% silk 45% linen Lining: 100% Acetate","8","0","880803","5311f55182a2529ce1108243f181348a.jpg","50","0","0","1","1","0","1359"
"184","Pleat neckline long sleeve knit","Pleat neckline long sleeve knit","Pleats are in! Framing an oval neckline, pencil pleating completes our stunning orchid knit, which is cosy and feminine.  Turn heads with our moss print silk skirt, or with simple black pants- a knit for all seasons.
","TBC","4","12","410463","142866b9d19376a48ebb13969a9114ef.jpg","75","0","0","1","1","0","276"
"68","Lavender Silk jacket with Pleat trim","Lavender Silk jacket with Pleat trim","Be sleek and chic in this luxurious pure silk jacket, featuring fine pleats on collar and cuffs. Team fragrant lavender with co-ordinating print or ivory pants to add colour and style to any spring ouffit","100% silk","1","11","100104","445cd600da3b55de149f70fbef9db7aa.jpg","185","0","0","1","1","0","2205"
"112","Hot pink silk/ linen skirt ","Hot pink silk/ linen skirt","Silk and linen  combine to make this feminine lined skirt, which can be worn with matching jacket or any jersey top.  Short sleeved  silk blouse in pansy print, makes a perfect match to the skirt(Not pictured)","55% silk 45% linenLining: 100% Acetate","3","9","300324","chesc_464.jpg","135","0","0","1","0","0","2223"
"113","Grey ivory striped shrug","Grey ivory striped shrug","Super stripes combine to make this showstopping cardigan , shaped to flatter in silver and ivory.","100% viscose","4","11","400407","24285d531c5977dea2ca98534653578b.jpg","105","105","0","1","1","0","1135"
"114","White oval neck jersey","White oval neck jersey","Short sleeve jersey  with oval neck-goes under any outfit.","100%POLYESTER","5","0","500599","chesc_355.jpg","18","0","0","0","1","0","182"
"115","White linen trouser ","White linen trouser ","Finest linen trouser, with button tab at waist, with back elastication for comfort","100% linen","2","11","280209","chesc_476.jpg","110","0","0","0","1","0","841"
"116","Mocha lace jacket with corsage","Mocha lace jacket with corsage","Lace Corsage brooch can be worn with this exquisite lace jacket ,with georgette frill at neckline and sleeve.  This stunning jacket is one of 3 beauifully crafted pieces, which combine to make an outfit you will treasure forever.","100% polyester Lining: 100% Polyester","6","9","600621","chesc_519.jpg","100","0","0","1","1","0","2561"
"117","Mocha lace camisole with georgette frill.","Mocha lace camisole with georgette frill.","Chiffon frill completes this beautiful  lace camisole.Wear it with matching skirt to masquerade as a dress,  or with lace jacket as outstanding twinset.  Lace corsage sold as part of lace jacket 600621
Please phone if you wish to order champagne twill trousers, £95","100% polyester Lining: 100% Polyester","6","9","600622","chesc_531.jpg","70","0","0","1","0","0","1077"
"118","Mocha mesh embroidered skirt ","Mocha mesh embroidered skirt","Mocha floral  lace panelled skirt complimented with chiffon bands completes an outstanding outfit","100% polyester Lining: 100% Polyester","3","9","300311","chesc_528.jpg","135","0","0","1","0","0","3504"
"119","Print Silk Linen Blouse","Print Silk Linen Blouse","Coral flowers intermingle with beige on an ivory background.  Vneck style with detailed tucking, and feminie cuff detail. Wear with matching printed skirt or ivory trousers.  Worn with tiny coral camisole available separately","81%silk 19%linen","6","11","680646","_mfk1993.jpg","70","100","0","1","1","0","2303"
"120","Print Linen Gored skirt","Print Linen Gored skirt","Matching coral print gored skirt,dress up with matching blouse or wear for casual days with coral or ivory jersey.","81%silk 19%linen","3","11","380324","_mfk1962.jpg","95","135","0","1","1","0","2040"
"121","Coral jersey camisole","Coral jersey camisole","Fluid  jersey camisole, which will cheer up and holiday wardrobe.  With a matching linen jacket for summer, or under
a black tailored jacket, you will love wearing it.","100% polyester","5","11","580523","_mfk1973.jpg","20","0","0","1","1","0","1107"
"122","White linen trouser ","White linen trouser ","Finest linen trouser, with button tab and elasticated back  on waistband for comfort. Available by mail order in coral, eucalyptus, and oatmeal.","100% Linen","2","11","280209a","_mfk1993.jpg","110","0","0","1","1","0","1778"
"124","White Square Neck Raised Detail Jersey ","White Square Neck Raised Detail Jersey ","White Square Neck  short sleeve Jersey in unusual \\\\\\\\\\\\\\\"cloque\\\\\\\\\\\\\\\" jersey is versatile and practical on its own or under linen jacket","100% Polyester","5","11","580525","_mfk2030.jpg","35","0","0","1","1","0","852"
"125","Oyster/Black strips Top","Oyster/Black strips Top","Strips of silky satin combine with georgette to make this flattering lined blouse, which takes off inches.  Flattering top emphasises your curves, worn with black silk/cotton panelled skirt","100% Polyester","6","10","690672","0f27348ddb313685a7d067af3c4b8328.jpg","105","0","0","0","1","0","225"
"126","Black Silk/Cotton Paneled skirt  (phone 0207 609 3434 for navy silk crepe de chine version-now in stock, but not phoographed)","Black Silk/Cotton Panelled skirt","Clever panelling combined with a circular hemline ensure a slim silhouette. This stylish skirt is a much-loved favourite of our chesca girls,  in a luxurious combination of silk/cotton

 
","60% silk, 40% cotton","3","9","380304","0f27348ddb313685a7d067af3c4b8328.jpg","125","0","0","0","1","0","178"
"1","Ivory Marabou Stole (Reduction Jan only)","Ivory Marabou Stole","Shimmering snow white is key this winter and what better way to vamp up those evening dresses than with this flamboyant marabou feather stole. With its delicate satin tie this loyal accessory will never let you down, you'll be the belle of the ball time and time again. ","100% Marabou Feather","8","11","890852","chesam206.jpg","45","55","0","1","1","0","1213"
"2","Black Silk Waterfall Jacket ","Black Silk Waterfall Jacket","Silk and satin combine with sparkling jet beads for the most sensual translucent jacket.  A perfect cover, knotted or loose over our gala silk dress, or add subtle glamour to any plain vest.  A delicate silk essential for any evening
If you would like one in RED(not pictured) phone the office-there are 6 in stock , would look lovely over black)","100% Silk","8","0","870859","chespm169.jpg","95","0","0","1","1","0","1665"
"3","Black Silk blouse","Black Silk blouse","Long sleeve vneck silk georgette blouse with applique detail, frill cuff and tiny buttons.Irredescent bead lifts deepest black and ensures you catch the light. Includes modesty cami.  Fabulous with matching skirt or silk crepe pants. ","100% Silk","6","9","690650","chespm201.jpg","60","60","0","0","1","0","57"
"4","Fuchsia Satin Back Crepe Camisole","Fuchsia Satin Back Crepe Camisole","Our best selling satin back crepe camisole, stunning under our melange silk devoree shrug. A wardrobe must-have in magnolia, ebony, apple and granite","100% Viscose","6","11","680676","chesam6.jpg","45","0","0","0","1","0","53"
"5","Fuchsia/Black Silk Blouse","Fuchsia/Black Silk Blouse","Sequins and silk devore combine to create this flattering knot front blouse with modesty cami. Wear for cocktails with matching skirt or with our jet black pleat side trousers for that special dinner party.","70% Viscose, 30% Silk","6","11","690688","chesam45.jpg","90","0","0","0","1","0","786"
"6","Fuchsia Emb Black T-Shirt","Fuchsia Emb Black T-Shirt","Black is back! Fuchsia flowers ensure you look stunning in this must-have jersey.  Elastane plus jersey equals glamourous curvy shape-matches our floral devore silk print skirt or simple black tailored trousers.","95% Viscose, 5% Elastane.( Embroidery 100% Acrylic)","5","0","590556","chespm98.jpg","40","0","0","1","1","0","1116"
"7","Floral Print Silk Devore Waterfall Jacket","Floral Print Silk Devore Waterfall Jacket","Melange of fuchsia, aubergine and violet combine to reflect this seasons key colours. Subtly embellished with a scatter of beading, this looks sensational with matching skirt or over aubergine silk georgette trousers. Wear loose or knotted to emphasis a slender silhouette.","70% Viscose, 30% Silk","6","10","690660","chesam25.jpg","65","65","0","0","1","0","48"
"8","Black Silk Sleeveless Blouse","Black Silk Sleeveless Blouse","Sleek and chic, this black sleeveless blouse adds a touch of elegance to every outfit. On trend with pleat detail emphasised with matching buttons. This stretch silk blouse can be worn on its own ,with print kiwi and amethyst print or beautiful bow jacket, for effortless elegance. ","95% Silk, 5% Elastane","6","8","690664","chespm527.jpg","65","0","0","1","1","0","1089"
"141","Eyelet Jacket","Eyelet Jacket","Eyecatching eyelets embellish this flattering turquoise jacket, designed to dress up any outfit.Turn back cuffs add style to  beautiful tailoring.
","TBC","0","0","180105","179f6a9d4b8dc5cf6245d97a22b2cbef.jpg","125","125","0","1","1","0","919"
"142","Tweed Jacket","Tweed Jacket","Feel very special in this chic tweed jacket, styled in the genre of fashion doyenne, Coco Chanel.  Grosgrain ribbon trims the collar and cuffs of this exquisite tweed from Jules Tournier.  An opportunity to buy this fashion investment.
","TBC","0","0","180107","c7653adc518f3f3ae500c2c277da4c22.jpg","150","225","0","1","1","0","470"
"11","Aubergine Silk Georgette Vest","Aubergine Silk Georgette Vest","Perfect under either the melange print or kimono shrug, aubergine silk palazzo trousers complete the outfit. Carla&apos;s choice of colour for the state banquet.","100% Silk","6","10","690663","chesam110.jpg","60","0","0","0","1","0","21"
"12","Burnt Orange Print Silk Devore Blouse","Burnt Orange Print Silk Devore Blouse","Satin ribbon chevron detail on neck and cuff detail make this the perfect blouse to showcase our key print this autumn.  Burnt orange, black and grey make for a beautifully warm colour palette which can be combined with our black trouser or matching orange print silk skirt for a complete outfit.","Shell 70% 30% viscose Lining 100% Acetate","6","0","690675","chesam142.jpg","80","100","0","1","1","0","737"
"13","Amethyst print silk  rich Vest","Amethyst print silk  rich Vest","Subtle design on silk devoree creates this headturning vest, embellished with macrame and bead embroidery on shoulders.  With sexy skirt or trendy trousers, you will love nights out in this flattering bias cut top.","Shell 60% Silk, 40% Viscose. Trim 60% Silk, 40% Viscose. Lining 100% Polyester","6","9","690674",,"70","0","0","0","0","0","14"
"14","Amethyst print Silk rich Jacket","Amethyst print Silk rich Jacket","Subtle design on silk devoree is embellished with macrame and bead embroidery to make your favourite cover up this year.  Be the envy of all your friends in shades of amethyst.","Shell 60% Silk, 40% Viscose.  Trim 60% Silk, 40% Viscose","6","11","690673","chespm545.jpg","100","0","0","0","1","0","296"
"15","Black Printed Silk Georgette Shrug","Black Printed Silk Georgette Shrug","Precious silk georgette embellished with subtle beading, this two piece will be the focus of your evening wardrobe. Vibrant tones ensure that over amethyst or kiwi, the jacket teams with black silk trousers for pre-theatre drinks or with its matching skirt for your daughter's wedding.","70% Viscose, 30% Silk","6","11","690671","chespm31.jpg","85","0","0","0","1","0","893"
"16","Black Circle Sequin Blouse(limited size range available)","Black Circle Sequin Blouse","Black should never mean boring. With a discrete drawstring this black silk blouse will flatteringly accentuate those well loved curves, whilst elegantly adding glamour to your outfit. Paired with chesca's black silk trousers, this effortlessly chic outfit moves away from the conventional with its glitzy sequin detail to liven up any party.","100% Silk","6","11","690670","chespm206.jpg","60","80","0","0","0","0","1672"
"17","Black/Oyster Strip Shrug","Black/Oyster Strip Shrug      ","Waterfall or knotted, this shrug will lift any outfit, from LBD or silk cami. Buy anyone of the amazing colours or all 4
and you have a new wardrobe! Infinitely washable and packable as well.
","100% Polyester","6","0","690658","chespm406.jpg","65","0","0","1","1","0","610"
"18","Black Tie-Front Shirt with Ivory Embroidery","Black Tie-Front Shirt with Ivory Embroidery","Crinkle georgette with double collar provides effortless chic with its contrasting flower embroidery. Infinitely packable for travel, this also includes a polyester/elastane vest","100% Polyester","6","11","680625","chespm247.jpg","60","90","0","0","0","0","2084"
"294","Black Spot Trim T-shirt","Black Spot Trim T-shirt","Crossed backed jersey t-shirt is the perfect match for the our Black & Ivory Spot Multi Panel Flare Skirt (style number 320304).","100% Viscose.","5","9","520509","3aec06cc163fa827f6da7d1fca6bc952.jpg","45","0","0","1","1","0","145"
"20","Sequinned Angel Sleeve Blouse","Sequinned Angel Sleeve Blouse","Enigmatic black! Take centre stage with sequin blouse, designed for the confident femme fatale. Dress up into stunning black dress, or wear with our black/fuchsia silk skirt. Try with jeans!","Shell 100% Polyester. Lining 100% Polyester","6","10","690659","chespm153.jpg","100","100","0","1","1","0","1406"
"210","Black Maribou Stole (Reduction Jan only)","Black Maribou Stole","What better way to vamp up those evening dresses than with this flamboyant marabou feather stole? With its delicate satin tie this loyal accessory will never let you down, you'll be the belle of the ball time and time again.","100% Maribou Feather","8","9","870862","dbb6bed8754f5e877fd95b7bff09abb6.jpg","45","55","0","1","1","0","642"
"24","Aubergine Silk Devore Shrug","Aubergine Silk Devore Shrug","Japanese influences mark this satin trimmed kimono sleeve shrug in delicious aubergine silk devore. We have specially dyed our signature silk georgette vest and palazzo trousers to match."," 60% Silk, 40% Viscose with trim 100%silk","6","10","690669","chesam126.jpg","95","95","0","0","1","0","56"
"293","Black and Ivory Spot Multi Panel Flared Skirt","Black and Ivory Spot Multi Panel Flared Skirt","Multi panelled luxurious printed silk skirt is perfect for any occasion. Our cross backed jersey t-shirt (style number 520509) perfectly completes the outfit.","100% Silk. Lining 100% Polyester.","3","9","320304","872beba4ccc2ff357232cabf2f5e791c.jpg","145","0","0","1","1","0","471"
"25","Tweed jacket","Tweed jacket","Braid trimmed tweed jacket goes with everything in subtle mix of grey, ivory and black.  Flattering shawl collar and single button completes this go-anywear jacket.","94% Acrylic, 5% Wool, 1% Polyamide","1","12","190154","7a079ad694bd415dd633b1c86971ce1f.jpg","65","95","0","1","1","0","1678"
"26","Kiwi Wool jacket","Kiwi Wool jacket","This season&apos;s shawl collar has black braid detail and floral embroidery for added emphasis.  Flatteringly cut, kiwi updates any black top and is cosy as winter nights draw nigh.","100% Wool","1","11","190152","chesam294.jpg","100","100","0","1","1","0","1853"
"27","Amethyst Wool hip length jacket","Amethyst Wool hip length jacket","Here\\'s something to relieve  wardrobe stress on those awkward autumnal days when you\\'re not quite ready for a winter coat and  summer days are long gone. Unlined, our amethyst boiled wool jacket is perfect for keeping you warm whilst having chesca\\'s  eye for detail with its ribbed collar and cuffs combined with button detail.","100% Wool","1","11","190153",,"85","85","0","0","1","0","10"
"28","Black Embroidered Jacket","Black Embroidered Jacket","Beautifully embroidered, this black wool jacket with infusions of amethyst, fuchsia and lime warms up any cold wintery day. Show it off with chesca\\\\\\'s black lined trousers and one of our button trim camisoles to create that sophisticated look, perfect for keeping you cosy","50% Wool, 50% Viscose","1","12","190158","5964da06deeb32fbd3d9a7c5f49f17d0.jpg","125","125","0","0","1","0","278"
"29","Silver Jacquard/Corsage Trim Jacket","Silver Jacquard/Corsage Trim Jacket","Our take on  'Sex and the City' was the inspiration for this silver plaid tailored jacket with its own corsage. Make the most of this year's key flower detail.  Be bold in that important meeting or smart for those evening plans. Shimmering silver sits perfectly with our anthracite trousers and our silk jersey knot front tee.","Shell 55% Viscose, 45% Polyester. Lining 100% Polyester","1","0","190155",,"195","0","0","1","1","0","871"
"30","Grey/Black Waterfall Coat","Grey/Black Waterfall Coat","Feel a million dollars cocooned in this beautifully cut wrap coat with its fabulous waterfall front. Perfect teamed with a wide belt or simply tied, it brings style back into winter warmth.","60% Virgin Wool, 40% Cotton","1","10","190157",,"225","225","0","0","0","0","14"
"33","Black Jersey top","Black Jersey top","Little black top in flattering viscose elastane jersey.Style this simple classic up or down according to the day ahead. Unusual Pencil pleat detail at neckline and short puff sleeve ensure that this will become a key piece in your wardrobe.","96% Polyester, 4% Elastane","5","0","590551","chespm90blk.jpg","50","0","0","1","1","0","746"
"34","Fuchsia Jersey top","Fuchsia Jersey top","Flamboyant fuchsia  v neck top in flattering viscose elastane jersey.Pencil pleat detail at neckline and short puff sleeve ensure you stand out for the crowd ","96% Polyester, 4% Elastane","5","8","590552","chespm87.jpg","50","0","0","1","1","0","483"
